"version","version_season","season","castaway","castaway_id","score_overall","score_outwit","score_outplay","score_outlast","score_result","score_jury","score_vote","score_adv","score_inf","r_score_chal_all","r_score_chal_immunity","r_score_chal_reward","r_score_chal_tribal","r_score_chal_tribal_immunity","r_score_chal_tribal_reward","r_score_chal_individual","r_score_chal_individual_immunity","r_score_chal_individual_reward","r_score_chal_team","r_score_chal_team_immunity","r_score_chal_team_reward","r_score_chal_duel","p_score_chal_all","p_score_chal_immunity","p_score_chal_reward","p_score_chal_tribal","p_score_chal_tribal_immunity","p_score_chal_tribal_reward","p_score_chal_individual","p_score_chal_individual_immunity","p_score_chal_individual_reward","p_score_chal_team","p_score_chal_team_immunity","p_score_chal_team_reward","p_score_chal_duel","r_score_vote","p_score_vote","n_votes_received","n_successful_boots","p_successful_boot","n_tribals","n_tribals_with_vote","r_score_adv","p_score_adv","n_adv_played","n_adv_not_played","n_adv_found","n_idols_found","n_voted_out_with_adv","n_voted_out_with_idol"
"US","US02",2,"Tina","US0032",0.694600684373219,0.776519801133352,0.279975879732927,1,1,0.571428571428571,0.779102384291725,0,0.90894298233925,-2.41,-1.93,0.02,-1,-0.5,0,-1.16,-1.43,0.27,-0.25,NA,-0.25,NA,0.244208991664931,0.209440012068784,0.5100098447218,0.374297629579753,0.4063940816813,0.510330431067818,0.256395442271221,0.179508347996272,0.632068703508936,0.406807771079459,NA,0.406028274833848,NA,1.76349206349206,0.64761601950108,0,10,1,11,10,NA,NA,NA,NA,NA,NA,NA,NA
"US","US03",3,"Diane","US0033",0.0265573876904241,1.66301846941117e-07,0.088524403898951,0,0,0,0,0,5.54339489803723e-07,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,0.450603736985229,0.425329609205605,0.420298057381863,0.442622019494755,0.4063940816813,0.412749901989019,NA,NA,NA,NA,NA,NA,NA,0,0,6,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"US","US03",3,"Jessie","US0034",0.134504398020435,0.236232383291521,0.0619429109175178,0.0714285714285714,0.0714285714285714,0,0.466666666666667,0,0.00966349986062492,-1.5,-1,-1,-1.5,-1,-1,NA,NA,NA,NA,NA,NA,NA,0.336556242179796,0.342705120866983,0.337734247045253,0.309714554587589,0.30952861369672,0.320303194218845,NA,NA,NA,NA,NA,NA,NA,0.125,0.045904375819721,5,1,0.5,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"US","US03",3,"Carl","US0035",0.100042750361581,0.0556055986904167,0.116477893427571,0.142857142857143,0.142857142857143,0,0,0,0.185351995634722,0.5,0.5,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,0.568913174997831,0.596907629015699,0.592475031326433,0.582389467137856,0.61174955700765,0.607293456102697,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"US","US03",3,"Linda","US0036",0.183401820066395,0.210431844381022,0.116477893427571,0.214285714285714,0.214285714285714,0,0.233333333333333,0,0.312550592381185,0.5,0,1,0.5,0,1,NA,NA,NA,NA,NA,NA,NA,0.568913174997831,0.511382976006383,0.674163773458976,0.582389467137856,0.509384498927833,0.697996196199578,NA,NA,NA,NA,NA,NA,NA,0.0625,0.0229521879098605,4,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"US","US03",3,"Silas","US0037",0.288069180438704,0.418528816740367,0.116477893427571,0.285714285714286,0.285714285714286,0,0.452054794520548,0,0.641671398266975,0.5,-0.5,1.5,0.5,-0.5,1.5,NA,NA,NA,NA,NA,NA,NA,0.568913174997831,0.425329609205605,0.748240680008757,0.582389467137856,0.4063940816813,0.777870275981806,NA,NA,NA,NA,NA,NA,NA,0.196428571428571,0.0721354477167044,8,2,0.666666666666667,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"US","US03",3,"Lindsey","US0038",0.345349463295159,0.508158095310075,0.116477893427571,0.357142857142857,0.357142857142857,0,0.452054794520548,0,0.940435660166004,0.5,0,1,0.5,0,1,NA,NA,NA,NA,NA,NA,NA,0.568913174997831,0.511382976006383,0.674163773458976,0.582389467137856,0.509384498927833,0.697996196199578,NA,NA,NA,NA,NA,NA,NA,0.196428571428571,0.0721354477167044,7,2,0.666666666666667,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"US","US03",3,"Clarence","US0039",0.490410470074563,0.546826649684576,0.477027938764346,0.428571428571429,0.428571428571429,0,0.643636363636364,0,0.750028226221314,-0.6,-0.1,-1,-0.5,0,-1,-0.1,-0.1,NA,NA,NA,NA,NA,0.438840131062134,0.494085472202455,0.337734247045253,0.442622019494755,0.509384498927833,0.320303194218845,0.485629418581743,0.483589076337059,NA,NA,NA,NA,NA,0.351190476190476,0.128969436826835,12,3,0.75,4,4,NA,NA,NA,NA,NA,NA,NA,NA
"US","US03",3,"Kelly","US0040",0.524297973170702,0.608524608642393,0.436293765712484,0.5,0.5,0,0.813609467455621,0,0.672399583048607,-0.82,-0.21,-1.11,-0.5,0,-1,-0.32,-0.21,-0.11,NA,NA,NA,NA,0.413163689840446,0.475072306621987,0.320425271660686,0.442622019494755,0.509384498927833,0.320303194218845,0.434711702266916,0.454774872537834,0.445400005658801,NA,NA,NA,NA,0.545634920634921,0.200376243657512,5,4,0.8,5,5,NA,NA,NA,NA,NA,NA,NA,NA
"US","US03",3,"Brandon","US0041",0.516762341094448,0.532932943161901,0.44053530800372,0.571428571428571,0.571428571428571,0,0.721951219512195,0,0.573191111352679,0.8,-0.34,1.64,0.5,0,1,-0.45,-0.34,-0.11,0.75,NA,0.75,NA,0.603698146316443,0.45267853760622,0.767265272540439,0.582389467137856,0.509384498927833,0.697996196199578,0.405071768220185,0.421037659872307,0.445400005658801,0.719509806558228,NA,0.721219890732465,NA,0.587301587301587,0.215677702264086,6,4,0.666666666666667,6,6,NA,NA,NA,NA,NA,NA,NA,NA
