,us01,us02,us03,us04,us05,us06,us07,us08,us09,us10,us11,us12,us13,us14,us15,us16,us17,us18,us19,us20,us21,us22,us23,us24,us25,us26,us27,us28,us29,us30,us31,us32,us33,us34,us35,us36,us37,us38,us39,us40,us41,us42,us43,us44,us45,us46,us47,us48,us49
us23,72.55422220306062,82.69111631993474,80.67081123083032,90.68414875579627,83.2314677604333,88.97650993048182,87.99364750365143,88.97250138863836,86.9562048413774,75.37472574724944,82.91559466316856,74.66704524451033,70.96746760842535,80.37324217285652,85.81798558919306,75.9676136169743,70.96746760842534,79.88290217432031,83.87383861536404,78.36990821268361,79.1663363561757,83.7360905411069,100.0,76.33067314089007,73.72717395872937,68.41778139384735,83.34189271429051,76.58237045616245,76.12603620738913,71.99772854644397,75.08335323075048,72.1216244337153,84.03140576606361,76.27919994843397,75.8713255225822,69.4191442232728,69.46129451754213,82.85860749072185,85.81935162696908,74.43279129661504,65.01290612188593,70.38444942747071,77.34638568905407,77.3968962144989,76.1104025124071,74.85921703486636,65.91323143933823,74.43191670566738,72.66310052782458
us24,76.66646389743539,78.02647357130573,78.98482205183808,77.39271817634099,83.80906972233723,74.19273834238639,78.92759593469643,83.25385600059892,76.0297575468188,74.24323853790085,79.81250737556029,66.97786570126925,77.98265690440076,93.45271498901344,76.26221055131664,80.58539602460937,71.24830660738603,87.29323230326608,77.7820490926218,74.45974135439421,82.33843258980617,77.94894065343321,76.33067314089007,100.0,79.52594168175429,74.95313069965923,73.68346771107521,76.08880045258655,75.28812770759795,73.06717320036246,82.63641807513444,81.5085964761137,79.20689877269407,72.7001636367346,82.6391912441925,73.26650182218309,72.06805975091429,77.989653303548,84.61480361407878,80.70639601021313,74.5015376076777,68.38687894008,81.07181133825702,76.94262432767562,85.58058261758407,74.73137960652588,71.08190885291647,74.26413651604615,83.75724043872364
us25,78.58052236947228,81.00422840907673,78.83376871084947,72.98890570839392,88.88832200992567,75.67706226733961,76.57732033347406,80.23270213841698,77.95123982720376,71.81887243097555,78.27060950319485,69.81820394367524,77.55216567661753,79.05804122914445,77.14163404649732,86.88925509384089,84.28651597363228,77.56176001083735,79.64132813627019,87.3169736072889,85.27626139607231,82.58743408279781,73.72717395872937,79.52594168175429,100.0,74.45689502625477,69.20308517589734,86.11884083503327,73.06134398058104,85.24628843547008,75.42329164946626,75.24704405916508,83.11085638021996,80.04010648544066,80.62938963178121,71.0341077789751,82.77938432345658,74.42438054403382,76.95448015122452,68.72590297287418,82.34375794855409,68.84030794966094,83.41263468937106,74.12962763213294,68.81219107573015,70.98736272801538,75.63077200694244,69.76276716640383,77.7973404258656
us26,66.40560627375439,76.58987214877129,66.96585632889256,59.25923899602223,78.49303001564238,67.48472979580892,70.26137374655947,63.68970568261718,71.35017748697113,58.2972702808636,70.41677693025949,71.72026316586356,64.20964311089625,74.77457759911287,71.54870853992723,73.63766772219324,67.90155066515557,83.1026478086073,68.54099627116224,74.13361897372086,73.29501648944164,70.70329698365525,68.41778139384735,74.95313069965923,74.45689502625477,100.0,68.55085795689489,76.35110506832952,78.00172641988334,77.27416889167029,82.41572108303747,72.60906716021958,77.20537874191909,81.30914789642189,73.74602489416647,69.37631783088266,79.91096196722455,65.84232576764516,65.2958953691358,81.29775138210691,72.68102237198279,70.37357863048494,76.70693221077758,82.55523578950125,60.240974190376285,67.70260810725256,77.7460868236258,53.05735841231283,68.60990604825801
us27,67.696926168622,77.99784106280825,76.3350892590498,79.42035280702906,73.80337734461267,88.36338899665503,81.78257762721533,75.12967022255252,88.7622186518636,74.47681237431414,76.70452478673246,71.74656125977752,65.90912530801474,76.30433113182504,79.60441808874728,74.27644646507106,72.64347560502948,77.00713500651453,78.45863209814173,76.3690594028772,79.77654198684363,70.98041395548277,83.34189271429051,73.68346771107521,69.20308517589734,68.55085795689489,100.0,74.08461894673239,80.77119487115363,70.80663719171594,83.78403097709166,65.12953254609685,74.58771094234716,75.97423420935745,59.163549061334834,72.23807482640984,67.2572709141857,76.71351890593527,80.74077850664345,77.66811411027956,83.29893357193288,74.13305888257533,71.50598838368583,76.18983258121081,59.27452676987025,68.92854259816377,67.97622413314575,60.9632161116379,68.62249034961573
us28,80.63172794785658,85.05114533027249,84.29353092185833,77.12792403113599,92.7044538449007,84.34396582442962,83.58635141601548,84.44706427872934,87.38010814132342,78.2068941777162,87.82906482779107,82.77128715680396,80.82580818211082,81.67695523353906,84.56279838088598,87.82204987956501,87.56015847912555,90.82845626216088,82.80572417536824,92.36773633004996,84.32561037850004,87.82906482779107,76.58237045616245,76.08880045258655,86.11884083503327,76.35110506832952,74.08461894673239,100.0,81.9158973990781,85.43214882024198,76.76848396434866,78.9357678017732,83.44408446393943,88.36338899665503,75.4376469530461,84.6456813228064,80.59183539423283,74.27318630965793,78.4670849846463,77.23737348715669,72.30409869886681,75.32067405351468,82.00113371181227,79.6419357107158,71.7584693306741,78.00190862182464,79.66879589441356,73.23308599334864,82.66925154624315
us29,65.59948924770997,79.92542907930516,71.69405411376465,75.16554116040413,70.75927647118682,78.92350024979851,74.72998177457848,68.28283833839978,81.30185857132093,61.44797297357284,73.5400078908943,73.19843810723803,64.37365734585015,74.99487412962773,77.94068725548814,68.8619054622384,71.10800764286489,83.93613016720703,75.80462403412253,75.64409975913003,73.14644343614293,74.4186419392483,76.12603620738913,75.28812770759795,73.06134398058104,78.00172641988334,80.77119487115363,81.9158973990781,100.0,74.96713921233376,86.94768458394711,72.80767727809464,78.92512653216781,85.57726644722676,64.41074486052922,67.58318717760817,71.95789859664434,69.82435338812655,69.1322847963187,72.13049117858719,72.78457204630877,77.41076702000207,65.59112320201741,74.03757247201553,55.469400678087965,64.23874591230773,75.83296614632961,50.17519096444926,68.89317400150401
us30,86.9984602407407,78.70662572753434,76.5361660293071,76.73913988763405,78.05055244505742,76.41945460598524,77.53765181208814,73.0160735603524,79.34799242248813,85.63338603303524,79.86108577845117,80.48909066726007,85.54363206779236,79.71276973024311,79.76947650956834,82.3061555861503,92.27798236480709,74.37583449190957,77.48345386398,86.31005992939775,78.18064270225253,78.97953049546291,71.99772854644397,73.06717320036246,85.24628843547008,77.27416889167029,70.80663719171594,85.43214882024198,74.96713921233376,100.0,76.60359647041969,86.00305693586745,80.81957267257653,81.40273453015683,83.11602175534162,71.4544629910495,86.52698388418194,73.12869664910303,73.93812890227682,78.24434417660615,79.29055320616649,66.30708352051118,77.6288896235623,82.33332029013185,64.10381388447668,77.52702127398877,79.02099150762054,67.1093616363907,85.24054893237604
us31,70.5974327212669,86.17875435510456,75.83457085811489,74.81451756575633,78.79133097772903,79.40452527101384,79.94586438810384,71.72182092807134,81.78288359253627,67.2446964156632,77.68052463524455,73.19843810723803,69.99371309334839,81.7280400439275,80.89528957406414,74.69283951472147,72.45865638003906,88.092758194804,75.86479027228647,76.80179867670789,79.01507160216622,73.23217544084117,75.08335323075048,82.63641807513444,75.42329164946626,82.41572108303747,83.78403097709166,76.76848396434866,86.94768458394711,76.60359647041969,100.0,75.4996932030754,80.82185714539699,81.50909021615207,71.38289060164823,71.8112566904671,75.63564677913675,78.3603004762012,76.59124164434029,83.9466469553558,84.03394896872341,74.13305888257533,73.59588948047498,82.71077813700313,61.81205388122971,71.37965642879045,84.80281616307008,55.24931352696265,70.37660756273509
us32,83.17347752176457,70.6097460169635,72.30076580422113,80.68165882488462,72.56319055632177,68.51382325926129,74.07812709140731,68.78841479731891,69.90786275979379,78.66318802631233,72.30076580422113,77.03051388411076,79.67830971740473,77.49604609080909,73.06453044150581,74.33706304920695,79.67830971740473,82.76459765296774,69.68145507515239,70.69746300352901,74.09412164556126,71.59902991169704,72.1216244337153,81.5085964761137,75.24704405916508,72.60906716021958,65.12953254609685,78.9357678017732,72.80767727809464,86.00305693586745,75.4996932030754,100.0,70.6097460169635,70.85842555781164,82.44579355911492,77.47344254404756,74.22588999022108,73.83198677693083,76.05929530287594,72.42289159180064,73.76481684430193,63.277288443907885,68.71405412154088,74.32577659972846,75.20270042820482,77.079943966083,71.0872641355847,67.79374897235819,78.30090896056709
us33,71.33583562188902,96.63282485149263,81.53234074722934,81.94769751797966,90.80761184457488,82.97171424897702,82.46663797670091,84.2160083481024,85.7872309259312,67.2446964156632,81.6848719686395,77.6133234994543,76.68663058546787,82.51749292301712,80.89528957406414,79.18341234283399,79.15157387215854,88.58925862219897,84.56450657161768,84.93589975227297,84.22072219907058,86.91397761564565,84.03140576606361,79.20689877269407,83.11085638021996,77.20537874191909,74.58771094234716,83.44408446393943,78.92512653216781,80.81957267257653,80.82185714539699,70.6097460169635,100.0,82.27715697256278,79.12415457655413,72.7763161996616,79.69496255397695,85.61226820665537,83.9140934542818,80.63451177043653,70.3741425085376,70.84140060452178,82.73577193213181,83.47626832682202,76.83240496478702,73.36506151467492,78.91025965318218,68.72412505702422,75.77756873179385
us34,79.8055060857746,84.02462457319282,87.21661934439021,75.5604989482215,85.37437535598751,81.4057105687982,79.09099461712593,88.69233738544919,82.73900876459398,78.46447055088255,89.37023208437482,85.31091537756316,81.53665626901793,80.3626793803658,85.79239152615918,82.11351571359192,81.53665626901793,79.80817302611747,79.25667406871301,88.4113055305538,78.30255202611353,90.36189506325076,76.27919994843397,72.7001636367346,80.04010648544066,81.30914789642189,75.97423420935745,88.36338899665503,85.57726644722676,81.40273453015683,81.50909021615207,70.85842555781164,82.27715697256278,100.0,73.85923499229834,70.79289226341096,82.70762635487753,73.27644704197812,73.5735791378214,73.39478331229337,66.83992955645546,81.41187354972614,78.63381241542477,76.91377082708544,64.16923552276215,73.78217169046607,80.98132488740731,70.44656553093816,85.20285181454452
us35,76.65171368575555,73.68066150268386,75.02875367150952,75.26865043878541,76.52609908914003,66.02817912600638,74.03265231671531,81.82876739912398,69.41036606516724,79.17963366506277,78.7636303665766,76.72229008801736,80.3626793803658,86.09356663666456,74.42178638931509,73.57003831174416,72.28145902394813,73.36413725812815,73.99423620210811,73.56788251995677,70.07549678921892,83.48098503131935,75.8713255225822,82.6391912441925,80.62938963178121,73.74602489416647,59.163549061334834,75.4376469530461,64.41074486052922,83.11602175534162,71.38289060164823,82.44579355911492,79.12415457655413,73.85923499229834,100.0,68.34990118926869,73.96169639070266,72.50993703347204,77.89341760479374,70.79848707996544,66.6228763404207,63.449095588983525,76.7244017859428,72.80120055777307,85.2742767419371,72.45103140209174,68.15017926715592,75.76352247907836,84.58114379912666
us36,69.71419299478005,73.56767508421716,75.4031169601676,72.73106348374799,81.98561295548556,79.22452933370953,73.43817026493453,69.25389620020948,76.39610220896333,64.89775144350054,69.74626271067521,82.61695829583071,73.67331358262541,69.25389620020948,71.64838524956795,82.61695829583071,81.98561295548558,87.87816946537347,72.56184102854633,77.10320899014988,82.76006323964226,67.70658071223936,69.4191442232728,73.26650182218309,71.0341077789751,69.37631783088266,72.23807482640984,84.6456813228064,67.58318717760817,71.4544629910495,71.8112566904671,77.47344254404756,72.7763161996616,70.79289226341096,68.34990118926869,100.0,73.61128836690382,81.1157593754545,78.28819802544956,83.2314677604333,68.83312743894506,69.55512989132497,70.50818798834297,76.39610220896333,73.67331358262541,81.54788018617961,77.27723576423209,68.496932680575,66.86193694679652
